Rank	Russian	English	POS	Notes	Pair
737	сия́ть	to shine	verb	impf	
738	о́вощи	vegetables	noun	pl	
739	ско́лько	how much / many	adverb		
740	ско́рый	quick / fast	adjective		
741	сле́довательно	consequently	conjunction		
742	слеза́	tear	noun	f	
743	сли́шком	too / excessively	adverb		
744	слова́рь	dictionary	noun	m	
745	сло́жный	complex / difficult	adjective		
746	слу́жба	service	noun	f	
747	слу́чай	case / occasion	noun	m	
748	сыр	cheese	noun	m	
749	случи́ться	to happen	verb	pf	случа́ться (impf)
750	слу́шать	to listen	verb	impf	послу́шать (pf)
751	сме́рть	death	noun	f	
752	смех	laughter	noun	m	
753	смея́ться	to laugh	verb	impf	засмея́ться (pf)
754	смочь	to manage / be able	verb	pf	мочь (impf)
755	снача́ла	at first	adverb		
756	снег	snow	noun	m	
757	сно́ва	again	adverb		
758	соба́ка	dog	noun	f	
759	собра́ние	meeting / collection	noun	n	
760	со́бственный	own	adjective		
761	собы́тие	event	noun	n	
762	сове́т	advice / council	noun	m	
763	сове́тский	Soviet	adjective		
764	совреме́нный	modern	adjective		
765	соверше́нно	completely	adverb		
766	совсе́м	entirely / quite	adverb		
767	путеше́ствовать	to travel	verb	impf	
768	согласи́ться	to agree	verb	pf	соглаша́ться (impf)
769	созда́ть	to create	verb	pf	создава́ть (impf)
770	созна́ние	consciousness	noun	n	
771	сойти́	to descend / go off	verb	pf	сходи́ть (impf)
772	солда́т	soldier	noun	m	
773	сон	dream / sleep	noun	m	
774	сообщи́ть	to report / inform	verb	pf	сообща́ть (impf)
775	соста́в	composition	noun	m	
776	состоя́ние	condition / state	noun	n	
777	состоя́ть	to consist	verb	impf	
778	сохрани́ть	to keep / preserve	verb	pf	сохраня́ть (impf)
779	социа́льный	social	adjective		
780	сочине́ние	composition / essay	noun	n	
781	спать	to sleep	verb	impf	
782	специа́льный	special	adjective		
783	спина́	back	noun	f	
784	споко́йный	calm	adjective		
785	спор	argument / dispute	noun	m	
786	спо́соб	way / method	noun	m	
787	спра́шивать	to ask	verb	impf	спроси́ть (pf)
788	сре́дство	means	noun	n	
789	ста́вить	to put / place	verb	impf	поста́вить (pf)
790	стака́н	glass (cup)	noun	m	
791	станови́ться	to become	verb	impf	стать (pf)
792	ста́нция	station	noun	f	
793	стара́ться	to try hard	verb	impf	постара́ться (pf)
794	стари́к	old man	noun	m	
795	ста́рший	elder / senior	adjective		
796	танцева́ть	to dance	verb	impf	потанцева́ть (pf)
797	статья́	article	noun	f	
798	стекло́	glass	noun	n	
799	стена́	wall	noun	f	
800	сте́пень	degree	noun	f	
801	стих	verse / poem	noun	m	
802	сто	hundred	numeral		
803	сто́ить	to cost	verb	impf	
804	стол	table	noun	m	
805	столи́ца	capital	noun	f	
806	столь	so / such	adverb		
807	сто́лько	so much / many	adverb		
808	страда́ть	to suffer	verb	impf	пострада́ть (pf)
809	страни́ца	page	noun	f	
810	страх	fear	noun	m	
811	стра́шный	terrible	adjective		
812	стрела́	arrow	noun	f	
813	стреми́ться	to strive	verb	impf	
814	стро́гий	strict	adjective		
815	стро́ить	to build	verb	impf	постро́ить (pf)
816	строй	system / order	noun	m	
817	струна́	string	noun	f	
818	студе́нт	student	noun	m	
819	стул	chair	noun	m	
820	суд	court / judgment	noun	m	
821	судьба́	fate / destiny	noun	f	
822	су́мка	bag	noun	f	
823	суть	essence	noun	f	
824	существова́ть	to exist	verb	impf	
825	схвати́ть	to grab	verb	pf	хвата́ть (impf)
826	сце́на	scene / stage	noun	f	
827	счастли́вый	happy	adjective		
828	счёт	account / score	noun	m	
829	счита́ть	to count / consider	verb	impf	посчита́ть (pf)
830	сюже́т	plot	noun	m	
831	табли́ца	table (chart)	noun	f	
832	де́душка	grandfather	noun	m	
833	та́йна	secret / mystery	noun	f	
834	так как	since / because	conjunction		
835	та́кже	also / as well	adverb		
836	та́нец	dance	noun	m	
837	твёрдый	hard / firm	adjective		
838	твой	your (sing.)	pronoun		
839	теа́тр	theater	noun	m	
840	тем не ме́нее	nevertheless	conjunction		
841	те́ма	theme / topic	noun	f	
842	тепло́	warmth / warm	noun	n	
843	теря́ть	to lose	verb	impf	потеря́ть (pf)
844	течь	to flow	verb	impf	
845	тип	type	noun	m	
846	ти́хий	quiet	adjective		
847	ти́хо	quietly	adverb		
848	тогда́	then / at that time	adverb		
849	то́же	also / too	adverb		
850	толпа́	crowd	noun	f	
851	ба́бушка	grandmother	noun	f	
852	то́лстый	thick / fat	adjective		
853	то́лько	only	particle		
854	торго́вля	trade	noun	f	
855	то́чка	dot / point	noun	f	
856	то́чно	exactly / precisely	adverb		
857	трава́	grass	noun	f	
858	тре́бовать	to demand	verb	impf	потре́бовать (pf)
859	тре́тий	third	numeral		
860	труд	labor / work	noun	m	
861	тру́дно	difficult(ly)	predicative		
862	туда́	to there	adverb		
863	тума́н	fog	noun	m	
864	тяжёлый	heavy / hard	adjective		
865	уби́ть	to kill	verb	pf	убива́ть (impf)
866	уве́ренный	confident	adjective		
867	у́гол	corner / angle	noun	m	
868	уда́р	blow / strike	noun	m	
869	удиви́ться	to be surprised	verb	pf	удивля́ться (impf)
870	удово́льствие	pleasure	noun	n	
871	уезжа́ть	to leave / depart	verb	impf	уе́хать (pf)
872	узна́ть	to find out / recognize	verb	pf	узнава́ть (impf)
873	у́лица	street	noun	f	
874	улы́бка	smile	noun	f	
875	улыбну́ться	to smile	verb	pf	улыба́ться (impf)
876	ум	mind / intellect	noun	m	
877	уме́ть	to know how	verb	impf	суме́ть (pf)
878	умере́ть	to die	verb	pf	умира́ть (impf)
879	у́мный	clever / smart	adjective		
880	услы́шать	to hear	verb	pf	слы́шать (impf)
881	успе́ть	to have time / manage	verb	pf	успева́ть (impf)
882	успе́х	success	noun	m	
883	устро́ить	to arrange	verb	pf	устра́ивать (impf)
884	у́тро	morning	noun	n	
885	у́хо	ear	noun	n	
886	уходи́ть	to leave / go away	verb	impf	уйти́ (pf)
887	уча́стие	participation	noun	n	
888	уча́сток	plot / section	noun	m	
889	учёный	scholar / scientist	noun	m	
890	учи́лище	college / school	noun	n	
891	учи́тель	teacher	noun	m	
892	учи́ть	to teach / learn	verb	impf	вы́учить (pf)
893	учи́ться	to study / learn	verb	impf	научи́ться (pf)
894	фа́брика	factory	noun	f	
895	факт	fact	noun	m	
896	фами́лия	surname	noun	f	
897	фигу́ра	figure	noun	f	
898	фильм	film / movie	noun	m	
899	фронт	front (mil.)	noun	m	
900	хара́ктер	character / temper	noun	m	
901	хвата́ть	to suffice / grab	verb	impf	хвати́ть (pf)
902	хи́мия	chemistry	noun	f	
903	хозя́ин	owner / host	noun	m	
904	холо́дный	cold	adjective		
905	хорошо́	well / good	adverb		
906	хоть	though / even	conjunction		
907	храни́ть	to store / keep	verb	impf	сохрани́ть (pf)
908	худо́жник	artist	noun	m	
909	худо́жественный	artistic	adjective		
910	царь	tsar	noun	m	
911	цвет	color	noun	m	
912	це́лый	whole / entire	adjective		
913	центр	center	noun	m	
914	це́рковь	church	noun	f	
915	ци́фра	digit / figure	noun	f	
916	час	hour	noun	m	
917	ча́стый	frequent	adjective		
918	ча́сто	often	adverb		
919	части́ца	particle	noun	f	
920	черта́	line / trait	noun	f	
921	че́тверть	quarter	noun	f	
922	число́	number / date	noun	n	
923	чи́стый	clean / pure	adjective		
924	член	member	noun	m	
925	что́-то	something	pronoun		
926	чу́вствовать	to feel	verb	impf	почу́вствовать (pf)
927	чу́до	miracle / wonder	noun	n	
928	чужо́й	someone else's / alien	adjective		
929	шаг	step	noun	m	
930	ша́пка	cap / hat	noun	f	
931	широ́кий	wide / broad	adjective		
932	шко́ла	school	noun	f	
933	шум	noise	noun	m	
934	шуме́ть	to make noise	verb	impf	
935	шути́ть	to joke	verb	impf	пошути́ть (pf)
936	шу́тка	joke	noun	f	
937	щека́	cheek	noun	f	
938	экза́мен	exam	noun	m	
939	экономи́ка	economy / economics	noun	f	
940	экра́н	screen	noun	m	
941	элеме́нт	element	noun	m	
942	эне́ргия	energy	noun	f	
943	эпо́ха	epoch / era	noun	f	
944	эта́ж	floor / story	noun	m	
945	юг	south	noun	m	
946	я́блоко	apple	noun	n	
947	яви́ться	to appear / show up	verb	pf	явля́ться (impf)
948	явле́ние	phenomenon	noun	n	
949	явля́ться	to be / appear	verb	impf	яви́ться (pf)
950	я́года	berry	noun	f	
951	язы́к	language / tongue	noun	m	
952	я́ма	pit / hole	noun	f	
953	я́ркий	bright	adjective		
954	я́сный	clear	adjective		
955	я́щик	box / drawer	noun	m	
956	автомоби́ль	automobile	noun	m	
957	а́втор	author	noun	m	
958	а́дрес	address	noun	m	
959	акт	act	noun	m	
960	актёр	actor	noun	m	
961	ана́лиз	analysis	noun	m	
962	а́рмия	army	noun	f	
963	аэропо́рт	airport	noun	m	
964	банк	bank	noun	m	
965	бе́гать	to run (around)	verb	impf	
966	бе́дный	poor	adjective		
967	бежа́ть	to run	verb	impf	побежа́ть (pf)
968	бе́лый	white	adjective		
969	бе́рег	shore / bank	noun	m	
970	беспоко́иться	to worry	verb	impf	
971	благодари́ть	to thank	verb	impf	поблагодари́ть (pf)
972	блестя́щий	brilliant / shining	adjective		
973	бли́же	closer	adverb		
974	блю́до	dish / course	noun	n	
975	бога́тый	rich	adjective		
976	бой	battle / fight	noun	m	
977	боле́знь	illness	noun	f	
978	боле́ть	to be ill / ache	verb	impf	заболе́ть (pf)
979	боль	pain	noun	f	
980	больни́ца	hospital	noun	f	
981	большо́й	big / large	adjective		
982	боя́ться	to be afraid	verb	impf	
983	брать	to take	verb	impf	взять (pf)
984	броса́ть	to throw	verb	impf	бро́сить (pf)
985	буди́ть	to wake (someone)	verb	impf	разбуди́ть (pf)
986	бу́дто	as if	conjunction		
987	бума́га	paper	noun	f	
988	буты́лка	bottle	noun	f	
989	быва́ть	to happen / be (sometimes)	verb	impf	
990	бы́стрый	fast / quick	adjective		
991	бюро́	bureau / office	noun	n	
992	валю́та	currency	noun	f	
993	ведь	after all / you see	particle		
994	везде́	everywhere	adverb		
995	вели́кий	great	adjective		
996	ве́рить	to believe	verb	impf	пове́рить (pf)
997	весёлый	cheerful	adjective		
998	весна́	spring (season)	noun	f	
999	вести́	to lead / conduct	verb	impf	повести́ (pf)
1000	ве́тка	branch	noun	f	
